time,error_original,error_method1,error_method2,error_method3,error_method4,similarity_top1,similarity_mean,momentum1_magnitude,momentum2_magnitude,momentum3_magnitude,momentum4_magnitude
908,17.646756222041027,14.841852691388707,13.753948798939138,16.493873152600916,17.430386645801203,0.8738290598728672,0.8689541585705296,2.591066688201869,3.6444790220896484,0.9289219111912896,0.00023522361601997815
909,17.549924526135136,14.836793699577408,13.769982225415198,16.497397140252836,17.430091536773073,0.915928355772915,0.9103549157831561,2.6009930188297967,3.6384625401195994,0.9276520481216701,0.00022855894242190735
910,17.630115523601656,14.855429497899243,13.808721189937078,16.52156060578062,17.449670034127806,0.8625328400954312,0.8580054534861288,2.5949948242580922,3.6131841760970813,0.9214493852391139,0.00023640876202986232
911,17.503637199775476,14.81605699133473,13.786230742191,16.489519957688362,17.41470294073276,0.9164186248372537,0.9121044398019305,2.605429780407807,3.6117398818335533,0.9212576480601444,0.0002300536930537675
912,17.49893465307551,14.798475174360966,13.785106702370774,16.476118980541973,17.397378114760986,0.8584211516937139,0.85412844121552,2.598102624468799,3.587928302205381,0.9153229474391228,0.00023797643483707386
913,17.403151233088018,14.744307870855161,13.7308681583021,16.423961843399493,17.345741773934556,0.9035287282593845,0.9006041832487834,2.604825448724434,3.629896470405917,0.9251382276984056,0.0002323215875338055
914,17.49197068472299,14.742930236791356,13.733783825875923,16.42355348888126,17.344095190738138,0.8654937525030094,0.858832237880874,2.600443884835083,3.6069198751618297,0.9194721178112649,0.00024015814624454444
915,17.555437389902565,14.753866934101035,13.749986448861145,16.437822554854804,17.35767587077892,0.9017824930180659,0.898618548075939,2.607929364022619,3.602680968987197,0.9185851124700358,0.00023069170506280904
916,17.526701082017357,14.744517299025317,13.748378546322249,16.430747662166873,17.34874929178453,0.8700558590996618,0.8633146956131024,2.6056417254423954,3.585246748873139,0.9142867017422447,0.0002206277652366725
917,17.590781151263513,14.785314715211419,13.79627238491274,16.47648651542555,17.393813887175874,0.9105304432013244,0.9073691470922576,2.6162438246806947,3.58768379023709,0.9150630980368462,0.00021371908233464704
918,17.753441366854,14.849017943501762,13.87232559913337,16.54529566654966,17.460372525141203,0.875846146271579,0.8699549224854509,2.6166607679554246,3.576189654440035,0.9123097918043245,0.00020540132071065911
